price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,city,house_age,years_since_renovation,total_sqft,price_log
439950.0,3.0,2.5,1770,2875,2.0,0,0,3,1770,0,Seattle,35,16,4645,12.99441863605669
235000.0,2.0,1.0,1210,9400,1.0,0,0,2,1210,0,Seattle,76,0,10610,12.367345048436391
315000.0,3.0,1.0,1160,9180,1.0,0,0,3,1160,0,Woodinville,57,28,10340,12.660331092405906
437500.0,3.0,2.25,1970,35100,2.0,0,0,4,1970,0,Issaquah,48,0,37070,12.98883427049148
407500.0,3.0,2.5,1930,10460,2.0,0,0,3,1930,0,Renton,29,0,12390,12.917798665647773
445700.0,3.0,2.5,1270,1180,3.0,0,0,3,1270,0,Seattle,24,0,2450,13.007403602593786
838000.0,4.0,2.5,3310,42998,2.0,0,0,3,3310,0,Redmond,24,0,46308,13.63877457278093
630000.0,4.0,2.75,2710,37277,2.0,0,0,3,2710,0,Issaquah,25,0,39987,13.353476685668044
550000.0,3.0,1.75,2910,35200,1.5,0,0,3,2910,0,Sammamish,46,11,38110,13.217675375388819
805000.0,3.0,2.0,2710,4500,1.5,0,0,4,1880,830,Seattle,96,0,7210,13.598598798635953
284000.0,3.0,1.75,1800,23103,1.0,0,0,3,1800,0,Carnation,57,28,24903,12.556733038263905
470000.0,5.0,2.5,2210,9655,1.0,0,0,3,1460,750,Bothell,49,0,11865,13.060490101343552
430000.0,4.0,1.5,1920,10000,1.0,0,0,4,1070,850,Bellevue,71,46,11920,12.971542813248437
491500.0,4.0,1.75,2190,125452,1.0,0,2,3,2190,0,Auburn,57,28,127642,13.105219253155285
785000.0,5.0,3.25,3660,11995,2.0,0,2,3,3660,0,Snoqualmie,19,0,15655,13.573440270649085
385000.0,3.0,3.25,1320,1327,2.0,0,0,3,1040,280,Seattle,17,0,2647,12.861001210669146
295000.0,2.0,2.5,1630,1368,2.0,0,0,3,1280,350,Seattle,16,0,2998,12.59473402514672
555000.0,4.0,2.5,3310,6500,2.0,0,0,3,3310,0,Snoqualmie,13,113,9810,13.22672519452875
459990.0,3.0,2.5,2680,5539,2.0,0,0,3,2680,0,North Bend,12,102,8219,13.038962203056485
625000.0,4.0,3.25,2730,54014,1.0,0,0,3,1560,1170,Renton,18,0,56744,13.345508528717259
300000.0,3.0,2.5,2540,5050,2.0,0,0,3,2540,0,Kent,19,0,7590,12.611541086966115
625000.0,4.0,2.75,2920,6605,2.0,0,0,3,2920,0,Renton,13,113,9525,13.345508528717259
553000.0,2.0,1.0,900,5000,1.0,0,0,3,900,0,Seattle,81,0,5900,13.223115088821102
379880.0,3.0,2.5,1650,14054,1.0,0,0,4,1130,520,Issaquah,39,0,15704,12.847613324763659
310000.0,3.0,1.0,1010,9945,1.0,0,0,4,1010,0,Snoqualmie,52,0,10955,12.644330802262578
775000.0,2.0,2.5,2680,7392,1.0,0,0,3,2680,0,Redmond,21,22,10072,13.560619598657233
365000.0,3.0,2.5,2200,7350,1.0,0,0,5,1570,630,Renton,37,0,9550,12.807655372286902
331950.0,4.0,2.5,2530,9933,2.0,0,2,3,2010,520,Auburn,35,16,12463,12.712742646644651
783500.0,3.0,2.5,2850,7130,2.0,0,0,3,1990,860,Seattle,45,0,9980,13.571527617101584
628000.0,4.0,2.0,2280,6010,1.0,0,0,3,1140,1140,Seattle,125,20,8290,13.350297037805756
560000.0,3.0,2.5,1900,8744,2.0,0,0,3,1900,0,Sammamish,38,25,10644,13.235693848424024
900000.0,3.0,1.0,1330,77972,1.0,0,0,3,1330,0,Kirkland,97,71,79302,13.710151153416941
531000.0,2.0,3.0,1270,1175,2.0,0,0,3,1110,160,Seattle,25,0,2445,13.182519183461475
831000.0,4.0,3.0,2170,4000,2.0,0,0,4,1610,560,Seattle,43,14,6170,13.630386277206295
780000.0,4.0,2.5,2730,10281,2.0,0,2,3,2730,0,Sammamish,29,0,13011,13.567050480716235
755000.0,4.0,2.5,2120,10202,1.0,0,0,4,1620,500,Bellevue,65,24,12322,13.534474352733596
705380.0,3.0,2.5,2490,4343,2.0,0,0,3,2490,0,Issaquah,22,0,6833,13.466493361349034
627000.0,4.0,2.25,1990,7712,1.0,0,0,3,1210,780,Issaquah,52,12,9702,13.348703414510117
865000.0,4.0,3.0,3690,9892,2.0,0,0,3,3690,0,Sammamish,27,19,13582,13.670485941982712
580000.0,2.0,1.0,2540,7000,1.0,0,0,5,1320,1220,Seattle,83,0,9540,13.270785106659046
410000.0,3.0,2.25,1800,36704,1.0,0,0,4,1360,440,Issaquah,47,25,38504,12.923914877701906
485000.0,4.0,3.0,2340,7048,1.0,0,0,4,1340,1000,Kirkland,46,0,9388,13.091906231773164
400000.0,2.0,1.75,2110,9519,1.0,0,0,2,2110,0,Shoreline,77,0,11629,12.899222326086994
549000.0,2.0,1.0,1140,5400,1.0,0,0,5,1140,0,Seattle,117,0,6540,13.215855541983634
620000.0,3.0,1.75,1480,2185,2.5,0,0,3,1480,0,Kirkland,20,0,3665,13.3374763699232
405000.0,2.0,3.0,1410,1240,2.0,0,0,3,1140,270,Seattle,19,0,2650,12.91164481522143
232000.0,2.0,1.0,1200,8063,1.0,0,0,4,1200,0,Des Moines,67,53,9263,12.354496960983985
800866.0,5.0,2.5,3180,13806,2.0,0,0,4,3180,0,Kirkland,35,0,16986,13.593450169816983
650000.0,3.0,1.5,2160,9000,1.0,0,2,4,1400,760,Seattle,76,40,11160,13.384729180332174
823000.0,6.0,1.75,2920,5000,2.5,0,0,4,2780,140,Seattle,117,0,7920,13.620712694725297
770000.0,3.0,2.0,2350,5700,1.5,0,0,4,1810,540,Seattle,86,36,8050,13.554147092530322
524000.0,3.0,1.75,1560,5520,1.0,0,0,4,780,780,Seattle,81,0,7080,13.169248871698304
541125.0,5.0,2.75,2740,8426,1.0,0,0,4,1370,1370,Bellevue,65,24,11166,13.201407432744421
670000.0,3.0,2.5,1680,2000,3.0,0,0,3,1680,0,Seattle,116,27,3680,13.415034483903348
384900.0,5.0,2.5,3090,12750,1.0,0,0,3,1750,1340,Federal Way,57,28,15840,12.860741437345885
406100.0,3.0,2.25,1410,1332,3.0,0,0,3,1410,0,Seattle,20,0,2742,12.91435717611903
1395000.0,5.0,3.5,4010,8510,2.0,0,1,5,2850,1160,Seattle,54,0,12520,14.148405690083225
736500.0,4.0,2.5,3180,21904,2.0,0,3,3,3180,0,Renton,25,0,25084,13.509665872657152
570000.0,3.0,2.25,2010,6000,1.0,0,0,3,1330,680,Redmond,50,0,8010,13.25339339419516
787000.0,3.0,1.75,1330,7500,1.0,0,0,3,1330,0,Bellevue,64,21,8830,13.575984798046763
328000.0,4.0,2.5,2370,6500,2.0,0,0,3,2370,0,Auburn,27,19,8870,12.700771936142122
435000.0,5.0,2.0,1840,9240,1.0,0,0,4,1540,300,Seattle,83,67,11080,12.983103608918753
499000.0,4.0,2.5,2910,6479,2.0,0,0,3,2910,0,Snoqualmie,19,0,9389,13.120363378739663
501000.0,4.0,1.0,2070,7519,1.0,0,0,3,1160,910,Bellevue,62,17,9589,13.124363376072994
1090000.0,4.0,2.5,4340,141570,2.5,0,0,3,4340,0,Redmond,33,0,145910,13.901689171636098
400000.0,2.0,1.0,840,5510,1.0,0,0,3,840,0,Seattle,70,20,6350,12.899222326086994
220000.0,4.0,1.5,1240,9600,1.0,0,0,3,1240,0,Federal Way,54,0,10840,12.301387370778713
657100.0,4.0,1.0,1390,4240,1.0,0,0,3,1050,340,Seattle,101,14,5630,13.395593014723183
309950.0,4.0,2.75,2310,5000,2.0,0,0,3,2310,0,Maple Valley,19,0,7310,12.644169499451689
300000.0,3.0,2.0,1050,10072,1.0,0,0,3,1050,0,Duvall,39,0,11122,12.611541086966115
525888.0,5.0,1.75,2550,71874,1.0,0,0,5,1810,740,Issaquah,65,0,74424,13.172845442834628
740000.0,4.0,1.75,2010,3600,1.5,0,0,3,2010,0,Seattle,123,0,5610,13.51440681653079
340000.0,5.0,1.0,1120,9022,1.5,0,0,4,1120,0,Kirkland,63,0,10142,12.73670383776449
398750.0,3.0,2.5,2230,4000,2.0,0,0,3,2230,0,Seattle,71,20,6230,12.896092440915037
206000.0,2.0,1.0,810,7158,1.0,0,0,5,810,0,Burien,81,0,7968,12.235636302128867
1030000.0,5.0,2.75,3190,16920,1.0,0,3,3,1690,1500,Bellevue,49,0,20110,13.845070331079134
600000.0,3.0,1.75,1670,39639,1.0,0,0,4,1670,0,Sammamish,49,33,41309,13.304686600863562
379950.0,4.0,1.75,1970,9389,1.0,0,0,5,1140,830,Shoreline,65,0,11359,12.84779757601972
287000.0,3.0,1.0,1450,6000,1.0,0,0,4,1450,0,Seattle,72,42,7450,12.567240979056246
2280000.0,7.0,8.0,13540,307752,3.0,0,4,3,9410,4130,Redmond,26,0,321292,14.639686439527019
309950.0,3.0,2.5,1880,7838,2.0,0,0,3,1880,0,Renton,31,0,9718,12.644169499451689
600000.0,3.0,1.75,1880,6360,1.0,0,0,4,1040,840,Seattle,80,0,8240,13.304686600863562
418000.0,3.0,2.0,1410,6030,1.5,0,0,4,1410,0,Seattle,95,0,7440,12.94323910384853
449250.0,4.0,2.0,1480,3844,1.5,0,0,5,1480,0,Seattle,97,55,5324,13.015337030575438
329950.0,2.0,1.0,1140,5250,1.5,0,0,4,1140,0,Seattle,76,40,6390,12.706699437569211
245000.0,3.0,1.75,1920,9306,1.0,0,0,3,1000,920,Auburn,41,0,11226,12.409017571151187
549000.0,4.0,2.5,2910,6338,2.0,0,0,3,2910,0,Renton,17,0,9248,13.215855541983634
800000.0,3.0,2.5,3240,7857,2.0,0,0,3,3240,0,Sammamish,31,0,11097,13.592368256649284
249950.0,3.0,2.0,1550,15040,1.0,0,0,4,1550,0,Renton,67,53,16590,12.429020177633873
210000.0,5.0,2.0,2050,10200,1.0,0,0,3,1430,620,Des Moines,69,24,12250,12.25486757159303
1425000.0,2.0,2.5,2220,4000,2.0,0,0,3,2220,0,Seattle,25,0,6220,14.169683073439028
585000.0,2.0,1.0,1770,8640,1.5,0,0,3,1520,250,Seattle,76,27,10410,13.279368835614243
615000.0,4.0,1.75,2300,11700,1.0,0,0,4,1960,340,Redmond,48,0,14000,13.329379172803593
618500.0,3.0,2.0,1800,5000,1.0,0,0,4,1080,720,Seattle,83,43,6800,13.335054087628247
487585.0,4.0,1.75,2010,9211,1.0,0,0,3,1470,540,Kirkland,48,21,11221,13.09722196411799
509900.0,3.0,2.5,1790,2700,2.0,0,0,3,1790,0,Issaquah,15,0,4490,13.141971868210181
631625.0,4.0,2.5,2440,6651,2.0,0,0,3,2440,0,Seattle,11,0,9091,13.356052725810846
555000.0,3.0,2.5,1940,3211,2.0,0,0,3,1940,0,Issaquah,16,0,5151,13.22672519452875
340000.0,2.0,1.5,1160,1438,2.0,0,0,3,1160,0,Seattle,24,0,2598,12.73670383776449
830000.0,4.0,2.5,3400,9692,2.0,0,0,3,3400,0,Redmond,18,0,13092,13.629182184591333
890000.0,4.0,4.25,4420,5750,2.0,0,0,3,3410,1010,Issaquah,19,0,10170,13.698977865303197
366750.0,3.0,3.0,1571,2017,3.0,0,0,3,1571,0,Seattle,17,0,3588,12.812438422654544
415000.0,3.0,2.25,1620,998,2.5,0,0,3,1540,80,Issaquah,15,0,2618,12.936036208848487
416286.0,3.0,2.5,1408,989,3.0,0,0,3,1408,0,Seattle,20,0,2397,12.939130205215296
478000.0,3.0,2.5,3040,4535,2.0,0,0,3,3040,0,Renton,18,0,7575,13.077368103521614
890000.0,5.0,3.5,4490,6000,2.0,0,0,3,3200,1290,Issaquah,19,0,10490,13.698977865303197
419190.0,2.0,2.5,1590,1426,2.0,0,0,3,1590,0,Issaquah,11,0,3016,12.946081942292848
712198.0,4.0,2.5,2450,4247,2.0,0,0,3,2450,0,Redmond,12,102,6697,13.476112645724857
397000.0,4.0,2.0,1440,7680,1.0,0,0,3,1200,240,Kirkland,54,0,9120,12.891694078557842
450000.0,2.0,2.0,1100,3000,1.5,0,0,3,1100,0,Seattle,113,20,4100,13.017005083966255
353000.0,3.0,1.0,1350,7740,1.0,0,0,4,860,490,Seattle,78,37,9090,12.77422616877261
609000.0,4.0,2.5,2150,37981,2.0,0,0,3,2150,0,Redmond,40,0,40131,13.31957518872681
234000.0,3.0,1.75,1490,8366,1.0,0,0,4,1010,480,Covington,50,0,9856,12.36308066783498
561000.0,3.0,2.0,2000,7000,2.0,0,0,3,2000,0,Seattle,109,39,9000,13.237477967034438
469000.0,2.0,1.0,1030,4400,1.0,0,0,3,1030,0,Seattle,101,14,5430,13.058360179622305
329350.0,2.0,1.0,720,6687,1.0,0,0,3,720,0,Seattle,83,26,7407,12.704879330347818
488000.0,5.0,2.0,2020,5000,1.5,0,0,4,2020,0,Seattle,87,0,7020,13.098072734013513
279900.0,3.0,1.75,1580,8151,1.0,0,1,4,1100,480,Des Moines,63,0,9731,12.5421912482017
606000.0,4.0,2.5,2110,13850,2.0,0,0,3,2110,0,Issaquah,38,25,15960,13.314636915215106
312000.0,4.0,2.0,1300,7054,1.0,0,0,3,1300,0,Seattle,75,12,8354,12.650761671914688
650000.0,3.0,1.5,1630,7475,1.0,0,1,3,1160,470,Seattle,85,29,9105,13.384729180332174
1135000.0,4.0,2.75,3370,8103,1.0,0,3,3,1970,1400,Seattle,55,11,11473,13.942144089954521
325000.0,4.0,2.5,1890,6156,1.0,0,0,3,980,910,Seattle,45,0,8046,12.691583538230217
425000.0,4.0,2.0,1520,7983,1.0,0,0,5,1520,0,Inglewood-Finn Hill,58,0,9503,12.959846800844963
219000.0,2.0,1.0,900,5160,1.0,0,0,3,900,0,Seattle,73,17,6060,12.296831574998258
250000.0,3.0,1.0,1050,6874,1.0,0,0,3,1050,0,Shoreline,71,20,7924,12.429220196836383
390000.0,3.0,1.75,1260,6500,1.0,0,0,4,1260,0,Bellevue,59,0,7760,12.873904582205107
475000.0,6.0,3.0,3470,117612,1.5,0,0,3,3470,0,Kenmore,101,14,121082,13.07107218827772
736000.0,4.0,2.5,2290,12047,2.0,0,0,4,2290,0,Bellevue,37,0,14337,13.508986756405742
407000.0,4.0,2.25,2810,23400,1.0,0,1,3,1710,1100,Des Moines,67,21,26210,12.91657092142417
272000.0,3.0,2.5,1650,13816,2.0,0,0,3,1650,0,Carnation,27,19,15466,12.513561021741964
362000.0,3.0,2.25,1640,14374,1.0,0,0,4,1140,500,Burien,62,0,16014,12.799402253235032
535000.0,3.0,2.5,1850,10109,2.0,0,0,3,1850,0,Kirkland,34,0,11959,13.190023895035274
284000.0,4.0,2.5,2000,5390,2.0,0,0,3,2000,0,Kent,22,0,7390,12.556733038263905
367500.0,3.0,1.5,1410,9647,1.0,0,0,3,1410,0,Shoreline,64,21,11057,12.814481318719762
379900.0,4.0,1.75,1500,11600,1.0,0,0,4,1000,500,Kenmore,70,16,13100,12.847665971443902
520000.0,3.0,2.5,2460,54885,2.0,0,0,4,2460,0,Renton,45,0,57345,13.161586013632684
175000.0,3.0,1.0,1010,7034,1.0,0,0,3,1010,0,Renton,71,20,8044,12.07254696717504
460000.0,2.0,2.25,1230,929,2.0,0,0,3,1020,210,Seattle,21,22,2159,13.038983942375959
345000.0,4.0,2.5,2331,3826,2.0,0,0,3,2331,0,Renton,18,0,6157,12.75130259456002
455000.0,5.0,2.5,2240,7770,1.0,0,0,3,1340,900,Kirkland,47,0,10010,13.02805489573287
610000.0,4.0,3.0,2450,10117,1.0,0,0,5,1580,870,Bellevue,58,0,12567,13.321215875492413
563000.0,4.0,3.0,3100,15480,2.0,0,0,3,2400,700,Kenmore,29,0,18580,13.241036683319184
612500.0,4.0,2.0,2060,5000,1.0,0,0,3,1030,1030,Seattle,76,12,7060,13.325305854052747
218000.0,3.0,1.75,1850,7684,1.0,0,0,3,1320,530,Federal Way,46,11,9534,12.292254928916668
404000.0,4.0,1.75,1840,10720,1.0,0,0,3,960,880,Bellevue,67,21,12560,12.90917263218775
860000.0,4.0,2.0,3740,32417,2.0,0,0,3,3740,0,Redmond,25,0,36157,13.664688831019712
136500.0,3.0,1.5,1420,8580,1.0,0,0,3,1420,0,Federal Way,63,22,10000,11.824087219587643
313950.0,3.0,1.0,1510,6083,1.0,0,0,4,860,650,Seattle,85,24,7593,12.65699220175776
575000.0,3.0,1.75,2130,6500,1.0,0,2,3,1170,960,Seattle,71,20,8630,13.26212705890841
1225000.0,4.0,2.25,3490,6906,2.0,0,0,4,2280,1210,Seattle,97,0,10396,14.018452218287162
280000.0,3.0,1.75,1630,11800,1.0,0,0,4,1630,0,North Bend,54,0,13430,12.54254845357358
515000.0,3.0,2.5,1790,7167,2.0,0,0,3,1790,0,Sammamish,36,0,8957,13.151924121391561
513000.0,4.0,2.5,2000,5684,2.0,0,0,3,2000,0,Kenmore,29,0,7684,13.148033073468746
599000.0,4.0,2.25,2260,29930,2.0,0,0,4,1400,860,Bellevue,48,0,32190,13.303018546545275
685000.0,4.0,2.5,3030,7864,2.0,0,0,3,3030,0,Sammamish,26,0,10894,13.437175577097312
365000.0,3.0,1.5,1310,8160,1.0,0,0,3,1310,0,Seattle,75,20,9470,12.807655372286902
762300.0,4.0,2.5,3880,14550,2.0,0,0,3,3880,0,Sammamish,38,25,18430,13.544096769794999
1580000.0,4.0,3.25,3760,10920,1.5,0,0,5,2400,1360,Seattle,75,0,14680,14.272936037914342
562000.0,5.0,2.25,3040,8111,2.0,0,0,3,3040,0,Redmond,41,0,11151,13.239258908233676
530000.0,5.0,2.5,2910,9636,1.0,0,0,4,1690,1220,Bellevue,61,0,12546,13.180634172318978
525000.0,3.0,2.5,2970,11985,1.0,0,0,3,1770,1200,Sammamish,30,0,14955,13.171155446333852
484000.0,2.0,1.75,1660,6000,1.0,0,0,3,1160,500,Seattle,83,26,7660,13.089842251812337
725126.0,4.0,2.5,3200,12369,2.0,0,0,3,3200,0,Newcastle,27,19,15569,13.49410209090971
360000.0,4.0,2.0,2680,18768,1.0,0,0,5,2680,0,Auburn,60,0,21448,12.793862088206213
387000.0,3.0,1.0,1230,9568,1.0,0,0,5,1230,0,Newcastle,63,0,10798,12.866182555987908
483500.0,4.0,2.5,2740,45732,2.0,0,0,3,2740,0,Woodinville,30,0,48472,13.088808662125674
655500.0,4.0,3.5,3380,8330,2.0,0,0,3,3380,0,Shoreline,25,0,11710,13.39315510773774
345000.0,3.0,1.0,1110,6250,1.0,0,0,3,1110,0,Seattle,69,24,7360,12.75130259456002
533000.0,5.0,2.75,1800,3780,1.5,0,0,3,1400,400,Seattle,99,22,5580,13.186278579318829
385000.0,3.0,1.75,1900,5520,1.0,0,0,3,1280,620,Seattle,43,0,7420,12.861001210669146
675000.0,2.0,1.0,930,36478,1.0,0,2,3,930,0,Bellevue,74,31,37408,13.42246945133505
197000.0,3.0,1.75,1690,7735,1.0,0,0,4,1060,630,Auburn,49,33,9425,12.190964083849375
485000.0,3.0,2.0,1420,4080,1.5,0,0,3,1420,0,Seattle,120,12,5500,13.091906231773164
1870000.0,5.0,4.0,4510,15175,2.0,0,0,3,4510,0,Mercer Island,56,23,19685,14.441449523589984
295000.0,3.0,2.25,1980,8000,1.0,0,0,4,1560,420,Federal Way,51,0,9980,12.59473402514672
499000.0,2.0,1.75,1170,2400,1.0,0,0,4,740,430,Seattle,122,0,3570,13.120363378739663
1050000.0,3.0,2.5,2200,1970,2.0,0,0,3,1610,590,Seattle,17,0,4170,13.864301674514206
191000.0,3.0,1.5,800,8850,1.0,0,0,4,800,0,Federal Way,66,0,9650,12.160033942617156
500000.0,3.0,2.5,1480,1171,3.0,0,0,3,1480,0,Seattle,19,0,2651,13.122365377402328
390000.0,5.0,3.75,2890,5000,1.0,0,0,3,1310,1580,Seattle,19,0,7890,12.873904582205107
979000.0,3.0,2.5,2690,4047,3.0,0,0,3,2690,0,Seattle,11,0,6737,13.794287942962585
580000.0,4.0,3.25,3569,8327,2.0,0,0,3,3569,0,Renton,12,102,11896,13.270785106659046
369950.0,3.0,2.0,1270,1320,3.0,0,0,3,1270,0,Seattle,19,0,2590,12.821125843418026
1800000.0,5.0,5.0,4490,10279,2.0,0,0,3,3930,560,Bellevue,12,102,14769,14.403297778421795
776000.0,4.0,2.5,3040,6425,2.0,0,0,3,3040,0,Redmond,17,0,9465,13.561909087824318
519950.0,3.0,2.25,1170,1249,3.0,0,0,3,1170,0,Seattle,11,0,2419,13.161489855348382
255000.0,5.0,2.25,2060,8632,1.0,0,0,3,1030,1030,Burien,63,22,10692,12.449022745701502
495000.0,3.0,1.0,990,6000,1.0,0,0,3,990,0,Seattle,82,23,6990,13.112315061750808
510000.0,4.0,2.5,2430,5203,2.0,0,0,3,2430,0,Shoreline,22,0,7633,13.1421679654829
1150000.0,4.0,4.0,4460,103382,2.0,0,0,3,4460,0,Redmond,24,0,107842,13.955273369904273
253000.0,3.0,1.75,1250,10122,1.0,0,0,3,1250,0,Black Diamond,31,0,11372,12.441148720271016
503000.0,3.0,2.75,1540,6760,1.0,0,0,5,1210,330,Kirkland,45,0,8300,13.12834743715147
275000.0,3.0,2.5,1600,7000,2.0,0,0,4,1600,0,Maple Valley,32,0,8600,12.524530013005734
249000.0,3.0,1.0,1110,8423,1.0,0,0,3,1110,0,Burien,73,17,9533,12.425212191503038
310000.0,3.0,1.75,1840,10723,1.0,0,0,4,1220,620,Renton,51,0,12563,12.644330802262578
750000.0,3.0,2.75,2520,5401,1.0,0,0,4,1360,1160,Seattle,79,36,7921,13.527829818844937
630000.0,3.0,2.5,2680,327135,2.0,0,0,3,2680,0,Ravensdale,30,0,329815,13.353476685668044
599999.0,9.0,4.5,3830,6988,2.5,0,0,3,2450,1380,Seattle,87,22,10818,13.304684934198283
758000.0,4.0,2.75,2410,9549,1.0,0,0,4,1780,630,Kirkland,69,0,11959,13.538439983884853
248500.0,4.0,1.75,1720,10018,1.0,0,0,5,1720,0,Covington,65,0,11738,12.423202148655593
310000.0,3.0,1.75,2070,37904,1.0,0,0,4,1420,650,Kent,52,0,39974,12.644330802262578
460000.0,3.0,2.0,1760,9055,2.0,0,0,4,1760,0,Redmond,40,0,10815,13.038983942375959
675000.0,3.0,1.75,1680,10500,1.0,0,0,4,1680,0,Bellevue,66,0,12180,13.42246945133505
526000.0,2.0,2.0,1550,2400,1.5,0,0,4,1550,0,Seattle,125,54,3950,13.173058392858724
560000.0,3.0,3.0,4120,60392,2.0,0,2,3,3180,940,Carnation,31,0,64512,13.235693848424024
415000.0,4.0,3.0,1830,9548,2.0,0,0,3,1830,0,Bothell,34,0,11378,12.936036208848487
246000.0,3.0,1.0,1400,7410,1.0,0,0,3,1400,0,Burien,81,0,8810,12.413090879946887
314500.0,3.0,1.75,1870,12381,1.0,0,0,4,1870,0,Federal Way,68,24,14251,12.658742534767816
3200000.0,7.0,4.5,6210,8856,2.5,0,2,5,4760,1450,Seattle,115,0,15066,14.978661680269907
420000.0,2.0,1.5,1040,3500,1.5,0,0,4,1040,0,Seattle,121,0,4540,12.948012371209098
